;time_in_ms;TransGroundSpeed;LonGroundSpeed;RPMOrder;AzimuthOrder;CourseTrue;x;y
1847121;1540296269409;0.45;8.06;64.14565999999999;-6.014481;96.96;150.94888367046985;1069.5532253915512
1847122;1540296270409;0.35;8.07;64.14565999999999;-6.016977;97.09;153.4305887078849;1069.2529986767104
1847123;1540296271409;0.37;8.12;64.425774;-6.009487;98.2;155.91929573465814;1068.9249731904258
1847124;1540296272409;0.47;8.13;64.425774;-5.71488;99.91;158.4075026192138;1068.5313426079906
1847125;1540296273409;0.41;8.13;64.425774;-5.6999;100.67;160.8837060938346;1068.076554732172
1847126;1540296274409;0.34;8.08;64.425774;-5.717377;101.67;163.34590559000557;1067.5984158892572
1847127;1540296275409;0.35;8.07;64.425774;-5.704894;103.2;165.79060011282553;1067.0624556056273
1847128;1540296276409;0.32;8.06;64.425774;-5.72237;104.38;168.2162892365301;1066.4742336333582
1847129;1540296277409;0.28;8.02;64.425774;-5.4252660000000015;105.39;170.62247281890174;1065.8404216793663
1847130;1540296278409;0.23;8.06;64.425774;-5.427763;106.1;173.02415512247006;1065.1676914466175
1847131;1540296279409;0.32;8.05;64.425774;-5.42277;107.78;175.41033302120235;1064.4493712321462
1847132;1540296280409;0.31;8.09;64.425774;-5.417776;109.03;177.78600793620834;1063.6632220181652
1847133;1540296281409;0.26;8.1;64.425774;-5.42277;110.3;180.15618128815348;1062.8314828208813
1847134;1540296282409;0.28;8.09;64.425774;-5.420273;112.19;182.49834668319897;1061.9308026755689
1847135;1540296283409;0.26;8.07;64.425774;-5.42277;113.52;184.8020011376185;1060.9622935307464
1847136;1540296284409;0.27;8.08;64.425774;-5.133156;115.02;187.08114862977303;1059.935962946789
1847137;1540296285409;0.22;8.02;64.425774;-5.133156;116.04;189.33278830706783;1058.8673782290364
1847138;1540296286409;0.29;8.01;64.14565999999999;-5.1281620000000006;117.85;191.54291619105297;1057.7532035295612
1847139;1540296287409;0.37;8.1;64.14565999999999;-5.1381489999999985;119.78;193.72853711268434;1056.5511847177281
1847140;1540296288409;0.27;8.1;64.14565999999999;-5.133156;120.43;195.89665306149772;1055.2957922679473
